# Radius 	finiterdf__met_met	rdf__met_met	finiterdf__met_wat	rdf__met_wat	finiterdf__wat_wat	rdf__wat_wat	
4.6798 1.29979	1.29955	1.19032	1.18804	1.15001	1.15747	
4.68996 1.3125	1.31231	1.19841	1.19614	1.16104	1.16861	
4.70013 1.31023	1.31008	1.18948	1.18725	1.15799	1.16556	
4.71029 1.30302	1.30293	1.18711	1.18492	1.15584	1.16342	
4.72045 1.2983	1.29825	1.19592	1.19373	1.15066	1.15822	
4.73061 1.30937	1.30938	1.18776	1.18561	1.15471	1.16232	
4.74078 1.29331	1.29336	1.18713	1.18501	1.15627	1.16392	
4.75094 1.29925	1.29935	1.1914	1.18931	1.15305	1.1607	
4.7611 1.29153	1.29167	1.19122	1.18915	1.15677	1.16446	
4.77126 1.2927	1.29289	1.18505	1.18302	1.16178	1.16953	
4.78143 1.30139	1.30164	1.18165	1.17965	1.15106	1.15877	
4.79159 1.29842	1.29871	1.17983	1.17786	1.15681	1.16458	
4.80175 1.30973	1.31007	1.17899	1.17705	1.15326	1.16103	
4.81191 1.29798	1.29837	1.17418	1.17228	1.15868	1.16651	
4.82208 1.29085	1.29129	1.17328	1.1714	1.14888	1.15667	
4.83224 1.28431	1.28479	1.1769	1.17504	1.14164	1.1494	
4.8424 1.30473	1.30527	1.16895	1.16713	1.14796	1.15579	
4.85256 1.29091	1.29149	1.16374	1.16195	1.13707	1.14485	
4.86273 1.27407	1.27469	1.16871	1.16694	1.13547	1.14325	
4.87289 1.28826	1.28893	1.16113	1.1594	1.14397	1.15183	
4.88305 1.28198	1.2827	1.16165	1.15993	1.14984	1.15777	
4.89321 1.28063	1.2814	1.15567	1.15399	1.13312	1.14095	
4.90338 1.27055	1.27136	1.14769	1.14605	1.13221	1.14006	
4.91354 1.28071	1.28157	1.14872	1.14709	1.13431	1.1422	
4.9237 1.27081	1.27171	1.15271	1.1511	1.12291	1.13074	
4.93386 1.25886	1.2598	1.14168	1.14011	1.1275	1.13538	
4.94403 1.27268	1.27367	1.13192	1.13038	1.12806	1.13596	
